1	$隆基股份(SH601012)$ $中远海控(SH601919)$ 	SH601919	true	true
2	$中远海控(SH601919)$	SH601919	true	true
3	$中远海控(SH601919)$ $三一重工(SH600031)$ $贵州茅台(SH600519)$ //@奔跑的沙丁鱼:两融利率5.1%领取查看图片	SH601919	true	true
4	本以为前面一轮调整结束开始上攻模式，不曾想5个交易日4天收阴线。按理来说，从5块多起来到目前21块多，增长的幅度有目共睹，业绩明牌不上都对不起中字头，但是我还是不愿意去相信这个位置会来大调整，不过这个位置上大阳，未来中报出来它怎么走？不停涨吗，不可能！那么只能在这个位置磨蹭磨蹭，看空看多的也没必要争论，随缘吧！不是所有人都能笑到最后，也不可能坚持到最后的都能赚到钱，爱恨随意！平常心对待	SH601919	true	true
5	$八一钢铁(SH600581)$ $中远海控(SH601919)$ $奥精医疗(SH688613)$简单说下最近的思路啊，钢铁股五一前后就看好，然后确实期货一路涨，股价自然也是一路涨，谁能想到国常会还能开两次呢？这个属于超级黑天鹅，不过最近看现货其实根本没期货跌的多，依然坚信二季报钢铁是暴利。既然奔着二季报去的，我还是愿意等开牌。海狗这个，我拿的成本很低，前两天看图凭感觉减了点，前天我也在雪球说了值博率稍微不如小弟们，当时这个丝毫不影响他的基本面，依然维持A股业绩兑现确定性最好的标的，没有之一。这个票永不丢，只是来回做，当然死拿也是一种风格，毕竟二季报也没多远了。关于医疗器械，其实就是最近上了两只还不错的次新，并且机构手里面有钱了，这种标的他们肯定要上的，好赛道不看估值是机构的一贯作风，但是从昨天低位上来20个点了，所以现在我给不出任何建议。但是后面主板或者科创板再有好赛道的次新股，并且确定机构要买的，老师们记得不要觉得有点贵就放弃了，毕竟后面机构要来给你抬轿子。关于三文鱼，其实就是个困境反转的标的，已经够烂了，联想系的公司烂成这样的也少啊。一年1亿公斤三文鱼产销量啊，现在价格7欧元每公斤，20亿市值，多牛掰的业绩弹性。目前在疫情的笼罩下，三文鱼的价格还是平了2019年高点，从年初的4欧元多涨到了7欧元。如果疫情影响减弱，国内需求起来，老师们觉得价格会怎么走呢？此处可以摁计算器，另外他的对标在国外产能是三四倍，市值好像奔1000亿人民币市值了。但是这个票问题也很多啊，最大的问题就是负债过大，当然和业绩弹性比起来，那四个亿的财务费用不算事啊，但是负债不解决始终是个事啊，要不是有个有钱的联想爸爸，这货早死了。这次看定增情况了，18元左右的定增价，如果搞完了，应该是个利好。（无论如何这票的流动性和未来都有很大不确定性，不适合猛干）上面就是我最近的一些思考吧，好多人不停的私信问我钢铁怎么办？海狗还能加吗？医疗器械盘中还能猛干吗？这算是个回应吧。上面的内容，只是个人的思考的记录，有可能对，也可能不对。无论任何时候，不建议任何人买入或者卖出上文中所说到的股票，我没有能力也没有资格与预判股票价格。	SH601919	true	true
6	$中远海控(SH601919)$ $宁波海运(SH600798)$ $招商轮船(SH601872)$	SH601919	true	true
7	$中远海控(SH601919)$ 扫了一眼，几乎全是利好，继续星辰大海！	SH601919	true	true
8	$中远海控(SH601919)$ 来猜明天收盘了，-5起步	SH601919	true	true
9	$中远海控(SH601919)$ $五洋停车(SZ300420)$ $天齐锂业(SZ002466)$ 这五洋停车，18号看中了！还好没干，后背发凉。	SH601919	true	false
10	今天 相对于XPRESS PEARL集装箱船爆炸 盐田港无法进港三天这个影响要大不小 会冲击全球船期 货进不了港 船靠不了泊装不了货 盐田等待的三天 也会影响到后续挂靠 每天活久见 疫情不停 混乱不止$中远海控(SH601919)$	SH601919	true	false
11	$中远海控(SH601919)$ 又和2月初一样 ，爆仓了 堵了排长龙。	SH601919	true	false
12	@北猴Behold: 豁，想套我到2024年?//@菜狗旺旺:这聊天的最后一句有点虎$中远海控(SH601919)$	SH601919	false	false
13	@菜狗旺旺:这聊天的最后一句有点虎$中远海控(SH601919)$	SH601919	true	true
14	$中远海控(SH601919)$中远海杠杠的	SH601919	false	false
15	$中远海控(SH601919)$ 同意@潇洒邑笑	SH601919	true	false
